latitude,longitude,zoom,estado,cidade
-3.789182,-38.570237,17,Ceará,Fortaleza
-3.789182,-38.561228,17,Ceará,Fortaleza
-3.789182,-38.552219,17,Ceará,Fortaleza
-3.789182,-38.54321,17,Ceará,Fortaleza
-3.789182,-38.534201,17,Ceará,Fortaleza
-3.789182,-38.525192,17,Ceará,Fortaleza
-3.789182,-38.516183,17,Ceará,Fortaleza
-3.789182,-38.507174,17,Ceará,Fortaleza
-3.789182,-38.498165,17,Ceará,Fortaleza
-3.789182,-38.489156,17,Ceará,Fortaleza
-3.789182,-38.480147,17,Ceará,Fortaleza
-3.789182,-38.471138,17,Ceará,Fortaleza
-3.789182,-38.462129,17,Ceará,Fortaleza
-3.780173,-38.6333,17,Ceará,Fortaleza
-3.780173,-38.624291,17,Ceará,Fortaleza
-3.780173,-38.615282,17,Ceará,Fortaleza
-3.780173,-38.606273,17,Ceará,Fortaleza
-3.780173,-38.597264,17,Ceará,Fortaleza
-3.780173,-38.588255,17,Ceará,Fortaleza
-3.780173,-38.579246,17,Ceará,Fortaleza
-3.780173,-38.570237,17,Ceará,Fortaleza
-3.780173,-38.561228,17,Ceará,Fortaleza
-3.780173,-38.552219,17,Ceará,Fortaleza
-3.780173,-38.54321,17,Ceará,Fortaleza
-3.780173,-38.534201,17,Ceará,Fortaleza
-3.780173,-38.525192,17,Ceará,Fortaleza
-3.780173,-38.516183,17,Ceará,Fortaleza
-3.780173,-38.507174,17,Ceará,Fortaleza
-3.780173,-38.498165,17,Ceará,Fortaleza
-3.780173,-38.489156,17,Ceará,Fortaleza
-3.780173,-38.480147,17,Ceará,Fortaleza
-3.780173,-38.471138,17,Ceará,Fortaleza
-3.780173,-38.462129,17,Ceará,Fortaleza
-3.771164,-38.6333,17,Ceará,Fortaleza
-3.771164,-38.624291,17,Ceará,Fortaleza
-3.771164,-38.615282,17,Ceará,Fortaleza
-3.771164,-38.606273,17,Ceará,Fortaleza
-3.771164,-38.597264,17,Ceará,Fortaleza
-3.771164,-38.588255,17,Ceará,Fortaleza
-3.771164,-38.579246,17,Ceará,Fortaleza
-3.771164,-38.570237,17,Ceará,Fortaleza
-3.771164,-38.561228,17,Ceará,Fortaleza
-3.771164,-38.552219,17,Ceará,Fortaleza
-3.771164,-38.54321,17,Ceará,Fortaleza
-3.771164,-38.534201,17,Ceará,Fortaleza
-3.771164,-38.525192,17,Ceará,Fortaleza
-3.771164,-38.516183,17,Ceará,Fortaleza
-3.771164,-38.507174,17,Ceará,Fortaleza
-3.771164,-38.498165,17,Ceará,Fortaleza
-3.771164,-38.489156,17,Ceará,Fortaleza
-3.771164,-38.480147,17,Ceará,Fortaleza
-3.771164,-38.471138,17,Ceará,Fortaleza
-3.771164,-38.462129,17,Ceará,Fortaleza
-3.762155,-38.6333,17,Ceará,Fortaleza
-3.762155,-38.624291,17,Ceará,Fortaleza
-3.762155,-38.615282,17,Ceará,Fortaleza
-3.762155,-38.606273,17,Ceará,Fortaleza
-3.762155,-38.597264,17,Ceará,Fortaleza
-3.762155,-38.588255,17,Ceará,Fortaleza
-3.762155,-38.579246,17,Ceará,Fortaleza
-3.762155,-38.570237,17,Ceará,Fortaleza
-3.762155,-38.561228,17,Ceará,Fortaleza
-3.762155,-38.552219,17,Ceará,Fortaleza
-3.762155,-38.54321,17,Ceará,Fortaleza
-3.762155,-38.534201,17,Ceará,Fortaleza
-3.762155,-38.525192,17,Ceará,Fortaleza
-3.762155,-38.516183,17,Ceará,Fortaleza
-3.762155,-38.507174,17,Ceará,Fortaleza
-3.762155,-38.498165,17,Ceará,Fortaleza
-3.762155,-38.489156,17,Ceará,Fortaleza
-3.762155,-38.480147,17,Ceará,Fortaleza
-3.762155,-38.471138,17,Ceará,Fortaleza
